,date,^spx_zamkniecie,aapl.us_zamkniecie,mcd.us_zamkniecie,msft.us_zamkniecie
95,2000-05-18,1437.21,0.766961,27.4397,23.33
96,2000-05-19,1406.95,0.715418,26.8584,22.9379
97,2000-05-22,1400.72,0.684413,27.6128,22.631
98,2000-05-23,1373.86,0.653008,27.7976,22.2777
99,2000-05-24,1399.05,0.667265,27.5292,23.1096
100,2000-05-25,1381.52,0.664174,26.4994,21.6771
101,2000-05-26,1378.02,0.657295,26.8151,21.6552
102,2000-05-30,1422.45,0.666368,25.9664,22.3382
103,2000-05-31,1420.6,0.639349,25.4263,22.0533
104,2000-06-01,1448.81,0.678131,25.2994,22.7562
105,2000-06-02,1477.26,0.704451,25.6585,23.3756
106,2000-06-05,1467.63,0.69518,25.2051,23.5722
107,2000-06-06,1457.84,0.706943,24.9414,24.5372
108,2000-06-07,1471.36,0.734859,24.7546,24.8549
109,2000-06-08,1461.67,0.721399,25.1588,24.2542
110,2000-06-09,1456.95,0.728877,24.0396,24.2542
111,2000-06-12,1446.0,0.694182,23.1957,23.5722
112,2000-06-13,1469.44,0.718907,23.0187,23.9257
113,2000-06-14,1470.54,0.6884,22.5662,24.8549
114,2000-06-15,1478.73,0.702956,22.8387,25.5131
115,2000-06-16,1464.46,0.694182,22.2525,25.5776
116,2000-06-19,1486.0,0.735557,22.3892,25.9757
117,2000-06-20,1475.95,0.77065,22.3892,26.4185
118,2000-06-21,1479.13,0.846618,22.2525,28.4407
119,2000-06-22,1452.18,0.818403,22.343,28.1529
120,2000-06-23,1441.48,0.786501,23.1957,27.3814
121,2000-06-26,1455.31,0.823887,23.774,28.0218
122,2000-06-27,1450.55,0.787797,23.238,27.7836
123,2000-06-28,1454.82,0.828573,22.879,27.8253
124,2000-06-29,1442.39,0.780021,22.2073,27.2087
125,2000-06-30,1454.6,0.797268,23.416,28.2015
126,2000-07-03,1469.54,0.811724,23.1032,28.2015
127,2000-07-05,1446.23,0.785704,22.6085,27.6723
128,2000-07-06,1456.67,0.788595,22.879,28.5321
129,2000-07-07,1478.9,0.828573,23.1032,28.9093
